Vocab,WordCount
384189, 781335
384431, 781754
384504, 781899
384549, 781994
384568, 782037
384689, 782316
384815, 782619
384939, 782900
384941, 782941
384965, 782996
385043, 783135
385073, 783184
386065, 785311
388586, 790838
388613, 790893
388801, 791304
389509, 792917
389664, 793272
389733, 793409
389850, 793624
389895, 793735
389923, 793796
390637, 795407
390695, 795540
390966, 796161
391114, 796456
391280, 796933
391388, 797188
391674, 797765
391766, 797944
391848, 798119
393343, 801452
393369, 801499
393477, 801764
393509, 801817
394971, 804812
395003, 804885
395076, 805036
395181, 805253
395285, 805500
395381, 805707
395864, 806736
395897, 806789
396383, 807988
396457, 808159
396534, 808346
396730, 808859
396792, 808978
396830, 809077
397048, 809478
397101, 809605
397458, 810272
397482, 810325
397510, 810378
397968, 811367
398810, 813128
398871, 813271
398894, 813318
399051, 813703
399225, 814112
399281, 814221
399806, 815362
399862, 815481
399923, 815620
400084, 815931
400138, 816044
400212, 816183
400326, 816430
400454, 816751
400938, 817866
400974, 817933
401145, 818360
401253, 818595
401358, 818992
401412, 819117
401852, 820034
401878, 820083
401902, 820128
401904, 820215
401995, 820396
402073, 820539
402538, 821536
402563, 821593
403033, 822722
403383, 823407
403534, 823950
404296, 825971
404331, 826052
404700, 826833
404724, 826894
404906, 827295
404951, 827386
405072, 827625
405127, 827740
405208, 827905
405223, 827962
405386, 828347
405489, 828590
405696, 829035
405745, 829126
405784, 829205
405834, 829298
405911, 829461
406030, 829660
406056, 829705
406139, 829878
406289, 830147
406313, 830186
406706, 830985
407009, 831778
407068, 831895
407127, 832008
407422, 832717
407519, 832938
407632, 833155
407924, 833756
407970, 833855
407999, 834052
408040, 834151
408131, 834308
408222, 834523
408256, 834590
408353, 834805
408382, 834870
408440, 834977
408466, 835030
408725, 835597
408739, 835642
408784, 835735
408835, 835850
408889, 835961
409040, 836246
409237, 836671
409265, 836730
409361, 836945
410079, 838524
410096, 838551
410156, 838692
410177, 838739
410390, 839262
410419, 839331
410860, 840352
410981, 840587
411042, 840714
411095, 840827
411159, 840958
411220, 841071
411243, 841282
411654, 842045
413021, 845218
413596, 846391
413855, 846970
413924, 847139
413924, 847224
413926, 847265
413926, 847298
414429, 848509
414487, 848622
414513, 848673
414617, 848896
414664, 848995
415716, 851354
415891, 851721
416142, 852244
416297, 852563
416451, 852894
416497, 852979
416599, 853192
416656, 853521
416686, 853598
416715, 853675
416875, 854072
416979, 854303
417061, 854456
417061, 854519
417112, 854636
417302, 855063
417475, 855454
417619, 855735
417658, 855814
417706, 855911
418532, 857772
419154, 858987
419186, 859064
419399, 859529
419458, 859660
419508, 859769
419716, 860306
420224, 861427
420385, 861810
420425, 861913
420560, 862160
420655, 862349
420917, 862930
420987, 863103
421188, 863578
421204, 863611
421709, 864736
421765, 864893
421864, 865138
422007, 865431
422030, 865482
422179, 865861
422211, 865930
422281, 866293
422480, 866654
422571, 866853
422706, 867138
422785, 867339
423006, 867766
423284, 868419
423473, 868774
423522, 868873
423609, 869038
423745, 869325
423828, 869480
423867, 869565
424164, 870216
424280, 870437
424417, 870708
425069, 872303
425216, 872598
